outcome,n,r2,adj_r2,shapiro_p
rbc,16,0.31913836471477225,-0.276615566159802,0.1186742655245962
mch,16,0.6017107138940654,0.2532075885513726,0.563761972345645
mchc,16,0.3894922218960954,-0.14470208394482098,0.9807977857646132
mcv,16,0.6622360753731933,0.36669264132473744,0.9734263145861416
rdw,16,0.5190130085247964,0.09814939098399322,0.8422076598189067
haemo,16,0.3885632973976804,-0.1464438173793492,0.3729857176879172
hct,16,0.43985637342908457,-0.05026929982046635,0.5349331322847116
