variable,PC1,PC2
height_delta,-0.4901270192887149,-0.32354109759209715
width_delta,-0.2090644341804121,-0.3221343368091847
length_delta,0.08892495010332434,0.11713149163403767
girth_delta,0.28805176652706144,-0.5474211526844481
robustness_delta,0.23415885642901788,-0.5674726991414218
compactness_delta,0.5911306074913147,-0.18562661618847665
elongation_delta,0.4700216327112498,0.34882433626424214
